# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(7.22187005e-02 3.44754032e+00 -1.10701281e-01)	(7.19267327e-02 3.44523992e+00 -1.10405197e-01)	(2.91967753e-04 2.30039768e-03 -2.96084130e-04)
2               	(8.88100454e-02 4.12539125e+00 -1.24954157e-01)	(8.83860678e-02 4.12148953e+00 -1.24540485e-01)	(4.23977578e-04 3.90172235e-03 -4.13672273e-04)
3               	(8.14881059e-02 4.23555976e+00 -1.36857924e-01)	(8.07755839e-02 4.23140770e+00 -1.36544192e-01)	(7.12522024e-04 4.15206370e-03 -3.13732042e-04)
4               	(3.12854145e-02 3.91785642e+00 -1.51934746e-01)	(3.03892127e-02 3.91422714e+00 -1.51778931e-01)	(8.96201802e-04 3.62928531e-03 -1.55814719e-04)
5               	(-2.25697391e-02 3.53486613e+00 -1.62404616e-01)	(-2.36030469e-02 3.53189997e+00 -1.62383045e-01)	(1.03330784e-03 2.96615625e-03 -2.15716882e-05)
6               	(-3.28407850e-02 3.36984279e+00 -1.59405936e-01)	(-3.40306323e-02 3.36731098e+00 -1.59476576e-01)	(1.18984726e-03 2.53181269e-03 7.06402720e-05)
7               	(8.18591066e-03 3.45716209e+00 -1.43537958e-01)	(6.81483193e-03 3.45478894e+00 -1.43660765e-01)	(1.37107873e-03 2.37315003e-03 1.22807163e-04)
8               	(6.44954469e-02 3.64922641e+00 -1.25712500e-01)	(6.29515620e-02 3.64683406e+00 -1.25863326e-01)	(1.54388484e-03 2.39235167e-03 1.50826665e-04)
9               	(9.27428579e-02 3.78306916e+00 -1.18303561e-01)	(9.10746326e-02 3.78058073e+00 -1.18472845e-01)	(1.66822531e-03 2.48843173e-03 1.69284205e-04)
10              	(7.78179971e-02 3.79180961e+00 -1.24570139e-01)	(7.60820820e-02 3.78921656e+00 -1.24756378e-01)	(1.73591510e-03 2.59305461e-03 1.86239682e-04)
11              	(3.90756715e-02 3.71543942e+00 -1.37607818e-01)	(3.72972571e-02 3.71276176e+00 -1.37816799e-01)	(1.77841441e-03 2.67765421e-03 2.08980519e-04)
12              	(9.26925510e-03 3.63632413e+00 -1.46817646e-01)	(7.43603902e-03 3.63358841e+00 -1.47057773e-01)	(1.83321608e-03 2.73571418e-03 2.40126725e-04)
13              	(7.35806565e-03 3.60814999e+00 -1.46665909e-01)	(5.44094345e-03 3.60538283e+00 -1.46943411e-01)	(1.91712219e-03 2.76716249e-03 2.77501914e-04)
14              	(2.80069016e-02 3.63181793e+00 -1.39250863e-01)	(2.59883391e-02 3.62904463e+00 -1.39563188e-01)	(2.01856255e-03 2.77330040e-03 3.12325455e-04)
15              	(5.17181588e-02 3.67508069e+00 -1.31233405e-01)	(4.96067048e-02 3.67232164e+00 -1.31570316e-01)	(2.11145399e-03 2.75904894e-03 3.36911465e-04)
16              	(6.20509896e-02 3.70507330e+00 -1.28028636e-01)	(5.98683196e-02 3.70234191e+00 -1.28380373e-01)	(2.18267004e-03 2.73138976e-03 3.51737282e-04)
17              	(5.62116560e-02 3.70905174e+00 -1.30263623e-01)	(5.39740646e-02 3.70635556e+00 -1.30623153e-01)	(2.23759137e-03 2.69618003e-03 3.59529873e-04)
18              	(4.31328725e-02 3.69486802e+00 -1.34627278e-01)	(4.08347828e-02 3.69221376e+00 -1.34994780e-01)	(2.29808969e-03 2.65426460e-03 3.67502394e-04)
19              	(3.39700267e-02 3.67872956e+00 -1.37289268e-01)	(3.15877035e-02 3.67612304e+00 -1.37672248e-01)	(2.38232325e-03 2.60651967e-03 3.82980095e-04)
20              	(3.39124667e-02 3.67232238e+00 -1.36681773e-01)	(3.14179832e-02 3.66976843e+00 -1.37090536e-01)	(2.49448354e-03 2.55395764e-03 4.08762670e-04)
21              	(4.05759416e-02 3.67741983e+00 -1.33754708e-01)	(3.79413142e-02 3.67492086e+00 -1.34201603e-01)	(2.63462741e-03 2.49896363e-03 4.46895273e-04)
22              	(4.79541720e-02 3.68802042e+00 -1.30750143e-01)	(4.51591466e-02 3.68557823e+00 -1.31246288e-01)	(2.79502534e-03 2.44219541e-03 4.96144763e-04)
23              	(5.15457148e-02 3.69659994e+00 -1.29205815e-01)	(4.85724956e-02 3.69421920e+00 -1.29760201e-01)	(2.97321922e-03 2.38073988e-03 5.54386046e-04)
24              	(5.08780314e-02 3.69932635e+00 -1.29187682e-01)	(4.77040033e-02 3.69702049e+00 -1.29806324e-01)	(3.17402811e-03 2.30585332e-03 6.18641751e-04)
25              	(4.84511574e-02 3.69711891e+00 -1.29718729e-01)	(4.50472724e-02 3.69491202e+00 -1.30407123e-01)	(3.40388503e-03 2.20689042e-03 6.88394268e-04)
26              	(4.71047699e-02 3.69362176e+00 -1.29756248e-01)	(4.34343627e-02 3.69154801e+00 -1.30522460e-01)	(3.67040718e-03 2.07375218e-03 7.66211480e-04)
27              	(4.80641742e-02 3.69225472e+00 -1.28861156e-01)	(4.40836988e-02 3.69035326e+00 -1.29717978e-01)	(3.98047541e-03 1.90146419e-03 8.56821342e-04)
28              	(5.06813614e-02 3.69411361e+00 -1.27321878e-01)	(4.63599152e-02 3.69242225e+00 -1.28280827e-01)	(4.32144618e-03 1.69135480e-03 9.58949183e-04)
29              	(5.35101485e-02 3.69778343e+00 -1.25749293e-01)	(4.88295348e-02 3.69633838e+00 -1.26819015e-01)	(4.68061372e-03 1.44504467e-03 1.06972233e-03)
30              	(5.55021993e-02 3.70082139e+00 -1.24544325e-01)	(5.04622334e-02 3.69964843e+00 -1.25727225e-01)	(5.03996587e-03 1.17296020e-03 1.18289953e-03)
31              	(5.65688455e-02 3.70161731e+00 -1.23712735e-01)	(5.11529296e-02 3.70074372e+00 -1.25015128e-01)	(5.41591581e-03 8.73598866e-04 1.30239301e-03)
32              	(5.72542980e-02 3.70025517e+00 -1.23012103e-01)	(5.14525735e-02 3.69970271e+00 -1.24434415e-01)	(5.80172448e-03 5.52462024e-04 1.42231282e-03)
33              	(5.81629250e-02 3.69809268e+00 -1.22214413e-01)	(5.19855787e-02 3.69787616e+00 -1.23747401e-01)	(6.17734635e-03 2.16519291e-04 1.53298841e-03)
34              	(5.95224763e-02 3.69661400e+00 -1.21245131e-01)	(5.30280802e-02 3.69674456e+00 -1.22861348e-01)	(6.49439608e-03 -1.30560689e-04 1.61621769e-03)
35              	(6.12029810e-02 3.69643840e+00 -1.20186850e-01)	(5.44714651e-02 3.69692399e+00 -1.21851645e-01)	(6.73151590e-03 -4.85593522e-04 1.66479500e-03)
36              	(6.29003205e-02 3.69710524e+00 -1.19191819e-01)	(5.60261660e-02 3.69794163e+00 -1.20867265e-01)	(6.87415452e-03 -8.36395254e-04 1.67544551e-03)
37              	(6.44067215e-02 3.69760838e+00 -1.18351131e-01)	(5.74733356e-02 3.69878152e+00 -1.20004591e-01)	(6.93338591e-03 -1.17313374e-03 1.65345961e-03)
38              	(6.56930905e-02 3.69721430e+00 -1.17659367e-01)	(5.87503042e-02 3.69871734e+00 -1.19270509e-01)	(6.94278631e-03 -1.50304220e-03 1.61114189e-03)
39              	(6.68297618e-02 3.69595245e+00 -1.17071763e-01)	(5.99113117e-02 3.69776867e+00 -1.18622943e-01)	(6.91845007e-03 -1.81621610e-03 1.55117986e-03)
40              	(6.79305468e-02 3.69438954e+00 -1.16522187e-01)	(6.10572759e-02 3.69651102e+00 -1.18004588e-01)	(6.87327094e-03 -2.12148907e-03 1.48240187e-03)
41              	(6.89504416e-02 3.69315818e+00 -1.16023683e-01)	(6.21440469e-02 3.69556280e+00 -1.17424569e-01)	(6.80639469e-03 -2.40461878e-03 1.40088605e-03)
