# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1               	(-2.19624435e+00 9.18913662e-02 5.44668429e-01)	(-2.19499363e+00 9.17930717e-02 5.43864988e-01)	(-1.25072192e-03 9.82945341e-05 8.03441307e-04)
2               	(-2.61710214e+00 1.13343774e-01 5.38566634e-01)	(-2.61497874e+00 1.13154344e-01 5.37597871e-01)	(-2.12340078e-03 1.89430290e-04 9.68763115e-04)
3               	(-2.68292295e+00 1.15151694e-01 4.92712469e-01)	(-2.68069572e+00 1.14823049e-01 4.91646537e-01)	(-2.22723193e-03 3.28645197e-04 1.06593129e-03)
4               	(-2.48294281e+00 8.66455102e-02 4.28553394e-01)	(-2.48104096e+00 8.62580485e-02 4.27451430e-01)	(-1.90184687e-03 3.87461660e-04 1.10196424e-03)
5               	(-2.24371112e+00 5.29900979e-02 3.86966417e-01)	(-2.24220787e+00 5.25598728e-02 3.85850821e-01)	(-1.50324557e-03 4.30225176e-04 1.11559566e-03)
6               	(-2.14192554e+00 4.34072618e-02 3.98958685e-01)	(-2.14068315e+00 4.29036494e-02 3.97826295e-01)	(-1.24238896e-03 5.03612388e-04 1.13238981e-03)
7               	(-2.19856023e+00 6.38161248e-02 4.53438593e-01)	(-2.19741718e+00 6.32111426e-02 4.52265358e-01)	(-1.14304340e-03 6.04982244e-04 1.17323472e-03)
8               	(-2.32005767e+00 9.44917998e-02 5.05677509e-01)	(-2.31890691e+00 9.37847115e-02 5.04436134e-01)	(-1.15075702e-03 7.07088291e-04 1.24137536e-03)
9               	(-2.40375350e+00 1.11159898e-01 5.17569789e-01)	(-2.40254472e+00 1.10377683e-01 5.16241101e-01)	(-1.20877777e-03 7.82215205e-04 1.32868762e-03)
10              	(-2.40807475e+00 1.04617927e-01 4.86130213e-01)	(-2.40679840e+00 1.03796700e-01 4.84713129e-01)	(-1.27635152e-03 8.21227244e-04 1.41708378e-03)
11              	(-2.35939653e+00 8.44836946e-02 4.41907882e-01)	(-2.35806307e+00 8.36431803e-02 4.40414952e-01)	(-1.33345743e-03 8.40514360e-04 1.49293009e-03)
12              	(-2.31017584e+00 6.80400890e-02 4.20704525e-01)	(-2.30880286e+00 6.71776824e-02 4.19154191e-01)	(-1.37297780e-03 8.62406609e-04 1.55033399e-03)
13              	(-2.29399495e+00 6.58424241e-02 4.34425334e-01)	(-2.29260252e+00 6.49437674e-02 4.32836574e-01)	(-1.39242963e-03 8.98656781e-04 1.58875989e-03)
14              	(-2.31051231e+00 7.56736338e-02 4.66544997e-01)	(-2.30912050e+00 7.47266475e-02 4.64935974e-01)	(-1.39180758e-03 9.46986296e-04 1.60902389e-03)
15              	(-2.33849366e+00 8.77050741e-02 4.90516233e-01)	(-2.33711868e+00 8.67101997e-02 4.88901217e-01)	(-1.37498144e-03 9.94874427e-04 1.61501586e-03)
16              	(-2.35715310e+00 9.32869564e-02 4.91106555e-01)	(-2.35580532e+00 9.22511725e-02 4.89493178e-01)	(-1.34777964e-03 1.03578390e-03 1.61337672e-03)
17              	(-2.35903600e+00 9.06582307e-02 4.73172007e-01)	(-2.35772068e+00 8.95865788e-02 4.71560971e-01)	(-1.31531866e-03 1.07165188e-03 1.61103612e-03)
18              	(-2.34995320e+00 8.41189305e-02 4.53662946e-01)	(-2.34867462e+00 8.30046924e-02 4.52048743e-01)	(-1.27857847e-03 1.11423806e-03 1.61420320e-03)
19              	(-2.34046654e+00 7.92662619e-02 4.46690065e-01)	(-2.33922873e+00 7.80934047e-02 4.45064363e-01)	(-1.23780779e-03 1.17285717e-03 1.62570192e-03)
20              	(-2.33764018e+00 7.88276931e-02 4.54178382e-01)	(-2.33644791e+00 7.75792074e-02 4.52532319e-01)	(-1.19226305e-03 1.24848573e-03 1.64606273e-03)
21              	(-2.34182646e+00 8.17383597e-02 4.67589011e-01)	(-2.34068398e+00 8.03947680e-02 4.65915020e-01)	(-1.14247986e-03 1.34359173e-03 1.67399050e-03)
22              	(-2.34875567e+00 8.51281098e-02 4.76458390e-01)	(-2.34766666e+00 8.36744092e-02 4.74749866e-01)	(-1.08900851e-03 1.45370068e-03 1.70852371e-03)
23              	(-2.35378863e+00 8.68050956e-02 4.76119085e-01)	(-2.35275772e+00 8.52277492e-02 4.74369495e-01)	(-1.03090413e-03 1.57734642e-03 1.74959052e-03)
24              	(-2.35499444e+00 8.65098985e-02 4.69521071e-01)	(-2.35403040e+00 8.47936854e-02 4.67723244e-01)	(-9.64037848e-04 1.71621306e-03 1.79782715e-03)
25              	(-2.35342697e+00 8.53905920e-02 4.63104641e-01)	(-2.35254372e+00 8.35198783e-02 4.61251656e-01)	(-8.83250168e-04 1.87071370e-03 1.85298432e-03)
26              	(-2.35151490e+00 8.47453848e-02 4.61481385e-01)	(-2.35073189e+00 8.27030573e-02 4.59567285e-01)	(-7.83015622e-04 2.04232747e-03 1.91410012e-03)
27              	(-2.35118547e+00 8.51083269e-02 4.64899453e-01)	(-2.35052458e+00 8.28748766e-02 4.62920010e-01)	(-6.60890847e-04 2.23345029e-03 1.97944279e-03)
28              	(-2.35279528e+00 8.61726458e-02 4.70268864e-01)	(-2.35227746e+00 8.37400003e-02 4.68221229e-01)	(-5.17827840e-04 2.43264551e-03 2.04763534e-03)
29              	(-2.35525130e+00 8.73010875e-02 4.74094471e-01)	(-2.35489586e+00 8.46723262e-02 4.71975454e-01)	(-3.55439997e-04 2.62876123e-03 2.11901714e-03)
30              	(-2.35704745e+00 8.80455464e-02 4.74835372e-01)	(-2.35686459e+00 8.52383530e-02 4.72642817e-01)	(-1.82854542e-04 2.80719339e-03 2.19255465e-03)
31              	(-2.35735148e+00 8.83928167e-02 4.73351495e-01)	(-2.35735128e+00 8.54116102e-02 4.71080996e-01)	(-1.97668088e-07 2.98120644e-03 2.27049842e-03)
32              	(-2.35640090e+00 8.85783234e-02 4.71615688e-01)	(-2.35658846e+00 8.54329192e-02 4.69263011e-01)	(1.87561766e-04 3.14540419e-03 2.35267701e-03)
33              	(-2.35512155e+00 8.88473415e-02 4.71134413e-01)	(-2.35549878e+00 8.55548073e-02 4.68695703e-01)	(3.77227361e-04 3.29253413e-03 2.43870996e-03)
34              	(-2.35438032e+00 8.92674997e-02 4.72168191e-01)	(-2.35494989e+00 8.58636768e-02 4.69639402e-01)	(5.69572381e-04 3.40382293e-03 2.52878855e-03)
35              	(-2.35446330e+00 8.97697628e-02 4.73972402e-01)	(-2.35522753e+00 8.62956308e-02 4.71350069e-01)	(7.64232768e-04 3.47413204e-03 2.62233293e-03)
36              	(-2.35502341e+00 9.02293507e-02 4.75573631e-01)	(-2.35598017e+00 8.67324950e-02 4.72856376e-01)	(9.56762581e-04 3.49685569e-03 2.71725483e-03)
37              	(-2.35544637e+00 9.05838392e-02 4.76451008e-01)	(-2.35658954e+00 8.71068135e-02 4.73639172e-01)	(1.14316276e-03 3.47702575e-03 2.81183636e-03)
38              	(-2.35532167e+00 9.08482489e-02 4.76727411e-01)	(-2.35665046e+00 8.74163758e-02 4.73819924e-01)	(1.32879670e-03 3.43187313e-03 2.90748755e-03)
39              	(-2.35469990e+00 9.10610572e-02 4.76886182e-01)	(-2.35620808e+00 8.76937525e-02 4.73884029e-01)	(1.50817536e-03 3.36730473e-03 3.00215313e-03)
40              	(-2.35393314e+00 9.12655103e-02 4.77347368e-01)	(-2.35561848e+00 8.79760263e-02 4.74250331e-01)	(1.68534165e-03 3.28948398e-03 3.09703721e-03)
41              	(-2.35338501e+00 9.14578124e-02 4.78191246e-01)	(-2.35523775e+00 8.82595453e-02 4.75001430e-01)	(1.85273940e-03 3.19826711e-03 3.18981651e-03)
42              	(-2.35313865e+00 9.16191044e-02 4.79186728e-01)	(-2.35515809e+00 8.85164329e-02 4.75902781e-01)	(2.01944405e-03 3.10267145e-03 3.28394646e-03)
43              	(-2.35302468e+00 9.17202631e-02 4.80020872e-01)	(-2.35520961e+00 8.87195635e-02 4.76641387e-01)	(2.18492776e-03 3.00069967e-03 3.37948437e-03)
44              	(-2.35280675e+00 9.17668288e-02 4.80548923e-01)	(-2.35515877e+00 8.88698847e-02 4.77071265e-01)	(2.35202151e-03 2.89694406e-03 3.47765814e-03)
45              	(-2.35237296e+00 9.17874312e-02 4.80862632e-01)	(-2.35490011e+00 8.89948581e-02 4.77281907e-01)	(2.52715117e-03 2.79257316e-03 3.58072481e-03)
46              	(-2.35178453e+00 9.18105327e-02 4.81164503e-01)	(-2.35449681e+00 8.91218981e-02 4.77475916e-01)	(2.71228375e-03 2.68863453e-03 3.68858721e-03)
47              	(-2.35119015e+00 9.18490872e-02 4.81609077e-01)	(-2.35409589e+00 8.92652332e-02 4.77808234e-01)	(2.90574905e-03 2.58385397e-03 3.80084345e-03)
